# pool = Plasma_Microbiome_Study
# prefix = CMI
# platform = Illumina
# run_date = 2019-09-13
# center_name = UCSDCMI
# sample_sheet = 2019_09_06_CMI_Plasma_1-4_samplesheet
# well_conc_units = ng/uL
# sequencing_method = Sequencing by synthesis
# center_project_name = Plasma_Microbiome
# experiment_design_description = frozen plasma metagenomics
# library_construction_protocol = KHP
# latitude = 32.5
# elevation = 193
# longitude = -117.25
# latitude_units = Decimal degrees
# longitude_units = Decimal degrees
# volume_extracted_dna = 40
# volume_extracted_dna_units = uL
# physical_specimen_remaining = True
# human_dna_concentration_units = ng/uL
# bacterial_dna_concentration_units = ng/uL
# qiita_prep_deprecated = False
# qiita_owner = CMI
# volume_extracted_dna_unit = ul
# human_dna_concentration_unit = ng_per_ul
# sequencing_meth = Sequencing by synthesis
X.SampleID,well_conc,sample_well,sample_plate,sample_type
12691.PC06,12691.PC06,0.239,O9,CMI_Plasma_12691_P1,plasma
12691.PC15,12691.PC15,0.203,O19,CMI_Plasma_12691_P1,plasma
12691.PC28,12691.PC28,0.213,O14,CMI_Plasma_12691_P2,plasma
12691.PC45,12691.PC45,0.234,J13,CMI_Plasma_12691_P3,plasma
12691.PC10,12691.PC10,0.367,O13,CMI_Plasma_12691_P1,plasma
12691.PC07,12691.PC07,0.324,E11,CMI_Plasma_12691_P1,plasma
12691.PC27,12691.PC27,0.191,I14,CMI_Plasma_12691_P2,plasma
12691.PC24,12691.PC24,0.196,O10,CMI_Plasma_12691_P2,plasma
12691.PC39,12691.PC39,0.349,F7,CMI_Plasma_12691_P3,plasma
12691.PC05,12691.PC05,0.19,C9,CMI_Plasma_12691_P1,plasma
12691.PC47,12691.PC47,0.272,H15,CMI_Plasma_12691_P3,plasma
12691.PC22,12691.PC22,0.197,K8,CMI_Plasma_12691_P2,plasma
12691.PC38,12691.PC38,2.326,J5,CMI_Plasma_12691_P3,plasma
12691.PC52,12691.PC52,0.35,L21,CMI_Plasma_12691_P3,plasma
12691.PC20,12691.PC20,0.262,I6,CMI_Plasma_12691_P2,plasma
12691.PC30,12691.PC30,0.121,C18,CMI_Plasma_12691_P2,plasma
12691.PC56,12691.PC56,0.275,J6,CMI_Plasma_12691_P4,plasma
12691.PC37,12691.PC37,0.285,B5,CMI_Plasma_12691_P3,plasma
12691.PC26,12691.PC26,0.219,M12,CMI_Plasma_12691_P2,plasma
12691.PC43,12691.PC43,0.209,F11,CMI_Plasma_12691_P3,plasma
12691.PC14,12691.PC14,0.251,G19,CMI_Plasma_12691_P1,plasma
12691.PC48,12691.PC48,0.209,D17,CMI_Plasma_12691_P3,plasma
12691.PC17,12691.PC17,0.169,C23,CMI_Plasma_12691_P1,plasma
12691.PC11,12691.PC11,0.222,G15,CMI_Plasma_12691_P1,plasma
12691.PC42,12691.PC42,0.197,P9,CMI_Plasma_12691_P3,plasma
12691.PC01,12691.PC01,0.232,A5,CMI_Plasma_12691_P1,plasma
12692.Control.49,12692.Control.49,0.326,C1,CMI_Plasma_12692_P1,bacteria monoculture
12692.Control.15,12692.Control.15,0.203,L4,CMI_Plasma_12692_P4,plasma
12692.Control.53,12692.Control.53,0,K1,CMI_Plasma_12692_P1,bacteria monoculture
12692.Control.36,12692.Control.36,0.219,J7,CMI_Plasma_12692_P3,plasma
12692.Control.13,12692.Control.13,0.201,K4,CMI_Plasma_12692_P2,plasma
12692.Control.33,12692.Control.33,0.251,H12,CMI_Plasma_12692_P4,plasma
12692.Control.58,12692.Control.58,0.069,C4,CMI_Plasma_12692_P2,control blank DNA extraction
12692.Control.51,12692.Control.51,0,G1,CMI_Plasma_12692_P1,bacteria monoculture
12692.Control.34,12692.Control.34,0.191,I7,CMI_Plasma_12692_P1,plasma
12692.Control.17,12692.Control.17,0.209,M4,CMI_Plasma_12692_P2,plasma
12692.Control.64,12692.Control.64,0.122,D4,CMI_Plasma_12692_P4,control blank DNA extraction
12692.Control.25,12692.Control.25,0.195,G8,CMI_Plasma_12692_P2,plasma
12692.Control.48,12692.Control.48,2.915,A1,CMI_Plasma_12692_P1,bacteria monoculture
12692.Control.43,12692.Control.43,0.21,J12,CMI_Plasma_12692_P4,plasma
12692.Control.1,12692.Control.1,0.153,A3,CMI_Plasma_12692_P1,control blank DNA extraction
12692.Control.44,12692.Control.44,0,O1,CMI_Plasma_12692_P1,control blank library prep
12692.Control.42,12692.Control.42,0.244,N13,CMI_Plasma_12692_P3,plasma
12692.Control.30,12692.Control.30,0.213,B12,CMI_Plasma_12692_P4,plasma
12692.Control.38,12692.Control.38,0.191,C12,CMI_Plasma_12692_P2,plasma
12692.Control.65,12692.Control.65,0.082,F4,CMI_Plasma_12692_P4,control blank DNA extraction
12692.Control.56,12692.Control.56,0.08,E3,CMI_Plasma_12692_P1,control blank DNA extraction
12692.Control.55,12692.Control.55,0.093,C3,CMI_Plasma_12692_P1,control blank DNA extraction
12692.Control.50,12692.Control.50,0.005,E1,CMI_Plasma_12692_P1,bacteria monoculture
12692.Control.73,12692.Control.73,0,M2,CMI_Plasma_12692_P2,bacteria monoculture
12692.Control.71,12692.Control.71,0,I2,CMI_Plasma_12692_P2,bacteria monoculture
12692.Control.90,12692.Control.90,0,K13,CMI_Plasma_12692_P1,control blank library prep
12692.Control.52,12692.Control.52,0,I1,CMI_Plasma_12692_P1,bacteria monoculture
12692.Control.85,12692.Control.85,0,J2,CMI_Plasma_12692_P4,bacteria monoculture
12692.Control.14,12692.Control.14,0.226,L3,CMI_Plasma_12692_P3,plasma
12692.Control.72,12692.Control.72,0,K2,CMI_Plasma_12692_P2,bacteria monoculture
12692.Control.70,12692.Control.70,0,G2,CMI_Plasma_12692_P2,bacteria monoculture
12692.Control.95,12692.Control.95,0,L24,CMI_Plasma_12692_P4,control blank library prep
12692.Control.5,12692.Control.5,0.228,N12,CMI_Plasma_12692_P4,plasma
12692.Control.7,12692.Control.7,0.195,B14,CMI_Plasma_12692_P4,plasma
12692.Control.23,12692.Control.23,0.209,P4,CMI_Plasma_12692_P4,plasma
12692.Control.82,12692.Control.82,0.3,D2,CMI_Plasma_12692_P4,bacteria monoculture
12692.Control.32,12692.Control.32,0.243,L13,CMI_Plasma_12692_P3,plasma
12692.Control.63,12692.Control.63,0.071,H3,CMI_Plasma_12692_P3,control blank DNA extraction
12692.Control.61,12692.Control.61,0.113,D3,CMI_Plasma_12692_P3,control blank DNA extraction
12692.Control.20,12692.Control.20,0.2,O3,CMI_Plasma_12692_P1,plasma
12692.Control.60,12692.Control.60,0.058,G4,CMI_Plasma_12692_P2,control blank DNA extraction
12692.Control.97,12692.Control.97,0.002,P24,CMI_Plasma_12692_P4,control blank library prep
12692.Control.69,12692.Control.69,0.006,E2,CMI_Plasma_12692_P2,bacteria monoculture
12692.Control.67,12692.Control.67,2.926,A2,CMI_Plasma_12692_P2,bacteria monoculture
12692.Control.29,12692.Control.29,0.197,B11,CMI_Plasma_12692_P3,plasma
12692.Control.81,12692.Control.81,2.816,B2,CMI_Plasma_12692_P4,bacteria monoculture
12692.Control.26,12692.Control.26,0.216,H7,CMI_Plasma_12692_P3,plasma
12692.Control.41,12692.Control.41,0.161,M14,CMI_Plasma_12692_P2,plasma
12692.Control.79,12692.Control.79,0,L1,CMI_Plasma_12692_P3,bacteria monoculture
12692.Control.96,12692.Control.96,0,N24,CMI_Plasma_12692_P4,control blank library prep
12692.Control.88,12692.Control.88,0,A11,CMI_Plasma_12692_P1,control blank library prep
12692.Control.39,12692.Control.39,0.199,D11,CMI_Plasma_12692_P3,plasma
12692.Control.31,12692.Control.31,0.203,K14,CMI_Plasma_12692_P2,plasma
12692.Control.3,12692.Control.3,0,B3,CMI_Plasma_12692_P3,control blank DNA extraction
12692.Control.24,12692.Control.24,0.196,G7,CMI_Plasma_12692_P1,plasma
12692.Control.91,12692.Control.91,0,M13,CMI_Plasma_12692_P1,control blank library prep
12692.Control.4,12692.Control.4,0.182,B4,CMI_Plasma_12692_P4,control blank DNA extraction
12692.Control.83,12692.Control.83,0.008,F2,CMI_Plasma_12692_P4,bacteria monoculture
12692.Control.27,12692.Control.27,0.226,H8,CMI_Plasma_12692_P4,plasma
12692.Control.80,12692.Control.80,0,N1,CMI_Plasma_12692_P3,bacteria monoculture
12692.Control.84,12692.Control.84,0,H2,CMI_Plasma_12692_P4,bacteria monoculture
12692.Control.54,12692.Control.54,0,M1,CMI_Plasma_12692_P1,bacteria monoculture
12692.Control.94,12692.Control.94,0,J24,CMI_Plasma_12692_P4,control blank library prep
12692.Control.9,12692.Control.9,0.221,I4,CMI_Plasma_12692_P2,plasma
12692.Control.75,12692.Control.75,0.315,D1,CMI_Plasma_12692_P3,bacteria monoculture
12692.Control.8,12692.Control.8,0.197,I3,CMI_Plasma_12692_P1,plasma
12692.Control.62,12692.Control.62,0,F3,CMI_Plasma_12692_P3,control blank DNA extraction
12692.Control.47,12692.Control.47,0,P2,CMI_Plasma_12692_P4,control blank library prep
12692.Control.35,12692.Control.35,0.2,I8,CMI_Plasma_12692_P2,plasma
12692.Control.18,12692.Control.18,0.193,N3,CMI_Plasma_12692_P3,plasma
12692.Control.66,12692.Control.66,0.078,H4,CMI_Plasma_12692_P4,control blank DNA extraction
12692.Control.21,12692.Control.21,0.179,O4,CMI_Plasma_12692_P2,plasma
12692.Control.2,12692.Control.2,0.124,A4,CMI_Plasma_12692_P2,control blank DNA extraction
12692.Control.77,12692.Control.77,0.014,H1,CMI_Plasma_12692_P3,bacteria monoculture
12692.Control.45,12692.Control.45,0,O2,CMI_Plasma_12692_P2,control blank library prep
12692.Control.93,12692.Control.93,0,H24,CMI_Plasma_12692_P4,control blank library prep
12692.Control.74,12692.Control.74,2.795,B1,CMI_Plasma_12692_P3,bacteria monoculture
12692.Control.87,12692.Control.87,0.003,N2,CMI_Plasma_12692_P4,bacteria monoculture
12692.Control.89,12692.Control.89,0,C11,CMI_Plasma_12692_P1,control blank library prep
12692.Control.10,12692.Control.10,0.24,J3,CMI_Plasma_12692_P3,plasma
12692.Control.68,12692.Control.68,0.294,C2,CMI_Plasma_12692_P2,bacteria monoculture
12692.Control.12,12692.Control.12,0.201,K3,CMI_Plasma_12692_P1,plasma
12692.Control.37,12692.Control.37,0.203,J8,CMI_Plasma_12692_P4,plasma
12692.Control.57,12692.Control.57,0.069,G3,CMI_Plasma_12692_P1,control blank DNA extraction
12692.Control.28,12692.Control.28,0.242,A12,CMI_Plasma_12692_P2,plasma
12692.Control.16,12692.Control.16,0.186,M3,CMI_Plasma_12692_P1,plasma
12667.Control.8,12667.Control.8,0.197,I3,CMI_Plasma_12667_P1,plasma
12667.Control.72,12667.Control.72,0,K2,CMI_Plasma_12667_P2,bacteria monoculture
12667.Control.48,12667.Control.48,2.915,A1,CMI_Plasma_12667_P1,bacteria monoculture
12667.Control.20,12667.Control.20,0.2,O3,CMI_Plasma_12667_P1,plasma
12667.Control.1,12667.Control.1,0.153,A3,CMI_Plasma_12667_P1,control blank DNA extraction
12667.Control.34,12667.Control.34,0.191,I7,CMI_Plasma_12667_P1,plasma
12667.Control.56,12667.Control.56,0.08,E3,CMI_Plasma_12667_P1,control blank DNA extraction
12667.Control.78,12667.Control.78,0,J1,CMI_Plasma_12667_P3,bacteria monoculture
12667.Control.57,12667.Control.57,0.069,G3,CMI_Plasma_12667_P1,control blank DNA extraction
12667.Control.94,12667.Control.94,0,J24,CMI_Plasma_12667_P4,control blank library prep
12667.Control.4,12667.Control.4,0.182,B4,CMI_Plasma_12667_P4,control blank DNA extraction
12667.Control.65,12667.Control.65,0.082,F4,CMI_Plasma_12667_P4,control blank DNA extraction
12667.Control.71,12667.Control.71,0,I2,CMI_Plasma_12667_P2,bacteria monoculture
12667.Control.9,12667.Control.9,0.221,I4,CMI_Plasma_12667_P2,plasma
12667.Control.51,12667.Control.51,0,G1,CMI_Plasma_12667_P1,bacteria monoculture
12667.Control.97,12667.Control.97,0.002,P24,CMI_Plasma_12667_P4,control blank library prep
12667.Control.27,12667.Control.27,0.226,H8,CMI_Plasma_12667_P4,plasma
12667.Control.19,12667.Control.19,0.206,N4,CMI_Plasma_12667_P4,plasma
12667.Control.28,12667.Control.28,0.242,A12,CMI_Plasma_12667_P2,plasma
12667.Control.29,12667.Control.29,0.197,B11,CMI_Plasma_12667_P3,plasma
12667.Control.6,12667.Control.6,0.201,P12,CMI_Plasma_12667_P4,plasma
12667.Control.70,12667.Control.70,0,G2,CMI_Plasma_12667_P2,bacteria monoculture
12667.Control.13,12667.Control.13,0.201,K4,CMI_Plasma_12667_P2,plasma
12667.Control.24,12667.Control.24,0.196,G7,CMI_Plasma_12667_P1,plasma
12667.Control.2,12667.Control.2,0.124,A4,CMI_Plasma_12667_P2,control blank DNA extraction
12667.Control.39,12667.Control.39,0.199,D11,CMI_Plasma_12667_P3,plasma
12667.Control.69,12667.Control.69,0.006,E2,CMI_Plasma_12667_P2,bacteria monoculture
12667.Control.62,12667.Control.62,0,F3,CMI_Plasma_12667_P3,control blank DNA extraction
12667.Control.42,12667.Control.42,0.244,N13,CMI_Plasma_12667_P3,plasma
12667.Control.33,12667.Control.33,0.251,H12,CMI_Plasma_12667_P4,plasma
12667.Control.63,12667.Control.63,0.071,H3,CMI_Plasma_12667_P3,control blank DNA extraction
12667.Control.79,12667.Control.79,0,L1,CMI_Plasma_12667_P3,bacteria monoculture
12667.Control.36,12667.Control.36,0.219,J7,CMI_Plasma_12667_P3,plasma
12667.Control.66,12667.Control.66,0.078,H4,CMI_Plasma_12667_P4,control blank DNA extraction
12667.Control.53,12667.Control.53,0,K1,CMI_Plasma_12667_P1,bacteria monoculture
12667.Control.82,12667.Control.82,0.3,D2,CMI_Plasma_12667_P4,bacteria monoculture
12667.Control.60,12667.Control.60,0.058,G4,CMI_Plasma_12667_P2,control blank DNA extraction
12667.Control.14,12667.Control.14,0.226,L3,CMI_Plasma_12667_P3,plasma
12667.Control.93,12667.Control.93,0,H24,CMI_Plasma_12667_P4,control blank library prep
12667.Control.75,12667.Control.75,0.315,D1,CMI_Plasma_12667_P3,bacteria monoculture
12667.Control.91,12667.Control.91,0,M13,CMI_Plasma_12667_P1,control blank library prep
12667.Control.68,12667.Control.68,0.294,C2,CMI_Plasma_12667_P2,bacteria monoculture
12667.Control.35,12667.Control.35,0.2,I8,CMI_Plasma_12667_P2,plasma
12667.Control.37,12667.Control.37,0.203,J8,CMI_Plasma_12667_P4,plasma
12667.Control.87,12667.Control.87,0.003,N2,CMI_Plasma_12667_P4,bacteria monoculture
12667.Control.76,12667.Control.76,0.002,F1,CMI_Plasma_12667_P3,bacteria monoculture
12667.Control.41,12667.Control.41,0.161,M14,CMI_Plasma_12667_P2,plasma
12667.Control.92,12667.Control.92,0,F24,CMI_Plasma_12667_P4,control blank library prep
12667.Control.40,12667.Control.40,0.201,D12,CMI_Plasma_12667_P4,plasma
12667.Control.81,12667.Control.81,2.816,B2,CMI_Plasma_12667_P4,bacteria monoculture
12667.Control.89,12667.Control.89,0,C11,CMI_Plasma_12667_P1,control blank library prep
12667.Control.88,12667.Control.88,0,A11,CMI_Plasma_12667_P1,control blank library prep
12667.Control.90,12667.Control.90,0,K13,CMI_Plasma_12667_P1,control blank library prep
12667.Control.43,12667.Control.43,0.21,J12,CMI_Plasma_12667_P4,plasma
12667.Control.21,12667.Control.21,0.179,O4,CMI_Plasma_12667_P2,plasma
12667.Control.83,12667.Control.83,0.008,F2,CMI_Plasma_12667_P4,bacteria monoculture
12667.Control.12,12667.Control.12,0.201,K3,CMI_Plasma_12667_P1,plasma
12667.Control.46,12667.Control.46,0,P1,CMI_Plasma_12667_P3,control blank library prep
12667.Control.5,12667.Control.5,0.228,N12,CMI_Plasma_12667_P4,plasma
12667.Control.58,12667.Control.58,0.069,C4,CMI_Plasma_12667_P2,control blank DNA extraction
12667.Control.18,12667.Control.18,0.193,N3,CMI_Plasma_12667_P3,plasma
12667.Control.31,12667.Control.31,0.203,K14,CMI_Plasma_12667_P2,plasma
12667.Control.55,12667.Control.55,0.093,C3,CMI_Plasma_12667_P1,control blank DNA extraction
12667.Control.84,12667.Control.84,0,H2,CMI_Plasma_12667_P4,bacteria monoculture
12667.Control.47,12667.Control.47,0,P2,CMI_Plasma_12667_P4,control blank library prep
12667.Control.22,12667.Control.22,0.198,P3,CMI_Plasma_12667_P3,plasma
12667.Control.49,12667.Control.49,0.326,C1,CMI_Plasma_12667_P1,bacteria monoculture
12667.Control.74,12667.Control.74,2.795,B1,CMI_Plasma_12667_P3,bacteria monoculture
12667.Control.86,12667.Control.86,0.002,L2,CMI_Plasma_12667_P4,bacteria monoculture
12667.Control.44,12667.Control.44,0,O1,CMI_Plasma_12667_P1,control blank library prep
12667.Control.52,12667.Control.52,0,I1,CMI_Plasma_12667_P1,bacteria monoculture
12667.Control.45,12667.Control.45,0,O2,CMI_Plasma_12667_P2,control blank library prep
12667.Control.96,12667.Control.96,0,N24,CMI_Plasma_12667_P4,control blank library prep
12667.Control.32,12667.Control.32,0.243,L13,CMI_Plasma_12667_P3,plasma
12667.Control.50,12667.Control.50,0.005,E1,CMI_Plasma_12667_P1,bacteria monoculture
12667.Control.15,12667.Control.15,0.203,L4,CMI_Plasma_12667_P4,plasma
12667.Control.64,12667.Control.64,0.122,D4,CMI_Plasma_12667_P4,control blank DNA extraction
12667.Control.77,12667.Control.77,0.014,H1,CMI_Plasma_12667_P3,bacteria monoculture
12667.Control.10,12667.Control.10,0.24,J3,CMI_Plasma_12667_P3,plasma
12667.Control.30,12667.Control.30,0.213,B12,CMI_Plasma_12667_P4,plasma
12667.Control.54,12667.Control.54,0,M1,CMI_Plasma_12667_P1,bacteria monoculture
12667.Control.25,12667.Control.25,0.195,G8,CMI_Plasma_12667_P2,plasma
12667.Control.11,12667.Control.11,0.203,J4,CMI_Plasma_12667_P4,plasma
12667.Control.85,12667.Control.85,0,J2,CMI_Plasma_12667_P4,bacteria monoculture
12667.Control.38,12667.Control.38,0.191,C12,CMI_Plasma_12667_P2,plasma
12667.X2069281,12667.X2069281,0.211,A24,CMI_Plasma_12667_P2,plasma
12667.X2036793,12667.X2036793,0.267,C5,CMI_Plasma_12667_P1,plasma
12667.X2047268,12667.X2047268,0.206,I11,CMI_Plasma_12667_P1,plasma
12667.X2489136,12667.X2489136,0.206,B13,CMI_Plasma_12667_P3,plasma
12667.X3055778,12667.X3055778,0.201,B21,CMI_Plasma_12667_P3,plasma
12667.X2060824,12667.X2060824,0.192,I15,CMI_Plasma_12667_P1,plasma
12667.X2496221,12667.X2496221,0.24,F15,CMI_Plasma_12667_P3,plasma
12667.X2052632,12667.X2052632,0.163,K19,CMI_Plasma_12667_P1,plasma
12667.X2071711,12667.X2071711,0.306,C6,CMI_Plasma_12667_P2,plasma
12667.X2058733,12667.X2058733,0.193,A23,CMI_Plasma_12667_P1,plasma
12667.X3034050,12667.X3034050,0.317,N19,CMI_Plasma_12667_P3,plasma
12667.X2068760,12667.X2068760,0.22,M20,CMI_Plasma_12667_P2,plasma
12667.X2036767,12667.X2036767,0.257,E5,CMI_Plasma_12667_P1,plasma
12667.X3040805,12667.X3040805,0.218,N15,CMI_Plasma_12667_P3,plasma
12667.X2070621,12667.X2070621,0.175,C7,CMI_Plasma_12667_P1,plasma
12667.X3090565,12667.X3090565,0.205,D19,CMI_Plasma_12667_P3,plasma
12667.X2048152,12667.X2048152,0.212,E15,CMI_Plasma_12667_P1,plasma
12667.X3019107,12667.X3019107,0.227,P11,CMI_Plasma_12667_P3,plasma
12667.X2062971,12667.X2062971,0.243,C16,CMI_Plasma_12667_P2,plasma
12667.X2454843,12667.X2454843,0.228,D15,CMI_Plasma_12667_P3,plasma
12667.X2470952,12667.X2470952,0.225,L19,CMI_Plasma_12667_P3,plasma
12667.X2068905,12667.X2068905,0.208,C13,CMI_Plasma_12667_P1,plasma
12667.X3028572,12667.X3028572,0.169,I24,CMI_Plasma_12667_P2,plasma
12667.X3106774,12667.X3106774,0.212,N21,CMI_Plasma_12667_P3,plasma
12667.X2061574,12667.X2061574,0.201,O8,CMI_Plasma_12667_P2,plasma
12667.X2130028,12667.X2130028,0.191,B9,CMI_Plasma_12667_P3,plasma
12667.X3042110,12667.X3042110,0.366,M23,CMI_Plasma_12667_P1,plasma
12667.X2060655,12667.X2060655,0.222,K15,CMI_Plasma_12667_P1,plasma
12667.X2488000,12667.X2488000,0.361,P8,CMI_Plasma_12667_P4,plasma
12667.X2052835,12667.X2052835,0.209,M19,CMI_Plasma_12667_P1,plasma
12667.X3109592,12667.X3109592,0.263,P6,CMI_Plasma_12667_P4,plasma
12667.X2471544,12667.X2471544,0.18,G22,CMI_Plasma_12667_P2,plasma
12667.X3091374,12667.X3091374,0.245,N9,CMI_Plasma_12667_P3,plasma
12667.X2491176,12667.X2491176,0.118,C14,CMI_Plasma_12667_P2,plasma
12667.X3008459,12667.X3008459,0.274,L15,CMI_Plasma_12667_P3,plasma
12667.X2073324,12667.X2073324,0.445,E21,CMI_Plasma_12667_P1,plasma
12667.X3079141,12667.X3079141,0.202,M24,CMI_Plasma_12667_P2,plasma
12667.X2070791,12667.X2070791,0.202,E10,CMI_Plasma_12667_P2,plasma
12667.X2058630,12667.X2058630,0.274,A13,CMI_Plasma_12667_P1,plasma
12667.X2472337,12667.X2472337,0.19,I20,CMI_Plasma_12667_P2,plasma
12667.X2051123,12667.X2051123,0.199,C15,CMI_Plasma_12667_P1,plasma
12667.X3018928,12667.X3018928,0.241,A20,CMI_Plasma_12667_P2,plasma
12667.X3088501,12667.X3088501,0.179,F21,CMI_Plasma_12667_P3,plasma
12667.X2488384,12667.X2488384,0.475,E24,CMI_Plasma_12667_P2,plasma
12667.X3039009,12667.X3039009,0.205,B23,CMI_Plasma_12667_P3,plasma
12667.X2403412,12667.X2403412,0.201,J11,CMI_Plasma_12667_P3,plasma
12667.X2487909,12667.X2487909,0.26,K24,CMI_Plasma_12667_P2,plasma
12667.X3056486,12667.X3056486,0.317,B15,CMI_Plasma_12667_P3,plasma
12667.X3074128,12667.X3074128,0.238,N6,CMI_Plasma_12667_P4,plasma
12667.X2071659,12667.X2071659,0.213,O12,CMI_Plasma_12667_P2,plasma
